GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification-service,com.ecotrack.notification.consumer,RewardEventConsumer,44,0,2,0,9,0,3,0,2,0
notification-service,com.ecotrack.notification.consumer,PickupEventConsumer,75,0,2,0,20,0,5,0,4,0
notification-service,com.ecotrack.notification.consumer,OrderEventConsumer,94,0,0,0,24,0,5,0,5,0
notification-service,com.ecotrack.notification.consumer,ApplicationEventConsumer,42,0,0,0,11,0,3,0,3,0
notification-service,com.ecotrack.notification.exception,GlobalExceptionHandler,43,0,0,0,9,0,5,0,5,0
notification-service,com.ecotrack.notification.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
notification-service,com.ecotrack.notification.exception,BusinessException,3,7,0,0,1,3,1,1,1,1
notification-service,com.ecotrack.notification.controller,NotificationController,109,0,16,0,16,0,13,0,5,0
notification-service,com.ecotrack.notification.mapper,NotificationMapper,66,0,0,0,24,0,2,0,2,0
notification-service,com.ecotrack.notification.service.impl,NotificationServiceImpl,99,61,17,1,17,16,16,3,7,3
notification-service,com.ecotrack.notification.dto.response,ApiResponse,18,0,0,0,2,0,2,0,2,0
notification-service,com.ecotrack.notification.config,RabbitMQConfig,142,0,0,0,23,0,23,0,23,0
notification-service,com.ecotrack.notification.config,SecurityConfig,111,0,0,0,19,0,7,0,7,0
notification-service,com.ecotrack.notification.config,SwaggerConfig,42,0,0,0,13,0,2,0,2,0
notification-service,com.ecotrack.notification.enums,NotificationType,0,69,0,0,0,12,0,1,0,1
notification-service,com.ecotrack.notification.enums,RoleType,0,27,0,0,0,5,0,1,0,1
notification-service,com.ecotrack.notification.security,AuthenticatedUser,12,0,0,0,5,0,1,0,1,0
notification-service,com.ecotrack.notification.security,JwtUtil,31,0,0,0,11,0,3,0,3,0
notification-service,com.ecotrack.notification.security,JwtAuthenticationFilter,164,0,22,0,34,0,12,0,1,0
notification-service,com.ecotrack.notification,NotificationServiceApplication,8,0,0,0,3,0,2,0,2,0
