GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
material-service,com.ecotrack.material.enums,EcoPointTransactionType,44,0,0,0,5,0,1,0,1,0
material-service,com.ecotrack.material.enums,RoleType,44,0,0,0,5,0,1,0,1,0
material-service,com.ecotrack.material.enums,RewardOrderStatus,54,0,0,0,6,0,1,0,1,0
material-service,com.ecotrack.material.enums,PaymentStatus,34,0,0,0,4,0,1,0,1,0
material-service,com.ecotrack.material.enums,OrderStatus,64,0,0,0,7,0,1,0,1,0
material-service,com.ecotrack.material.enums,RewardCategory,54,0,0,0,6,0,1,0,1,0
material-service,com.ecotrack.material.enums,AvailabilityStatus,24,0,0,0,3,0,1,0,1,0
material-service,com.ecotrack.material.enums,PaymentMethod,44,0,0,0,5,0,1,0,1,0
material-service,com.ecotrack.material.producer,RewardEventProducer,52,0,0,0,19,0,2,0,2,0
material-service,com.ecotrack.material.producer,MaterialEventProducer,82,0,0,0,23,0,6,0,6,0
material-service,com.ecotrack.material,MaterialServiceApplication,8,0,0,0,3,0,2,0,2,0
material-service,com.ecotrack.material.exception,BusinessException,10,0,0,0,4,0,2,0,2,0
material-service,com.ecotrack.material.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
material-service,com.ecotrack.material.exception,GlobalExceptionHandler,68,0,0,0,15,0,7,0,7,0
material-service,com.ecotrack.material.service.impl,PaymentServiceImpl,509,0,56,0,108,0,38,0,10,0
material-service,com.ecotrack.material.service.impl,EcoPointRuleServiceImpl,262,0,14,0,53,0,21,0,14,0
material-service,com.ecotrack.material.service.impl,MaterialServiceImpl,319,0,16,0,69,0,24,0,16,0
material-service,com.ecotrack.material.service.impl,OrderServiceImpl,522,0,42,0,106,0,36,0,15,0
material-service,com.ecotrack.material.service.impl,MaterialCategoryServiceImpl,80,0,2,0,20,0,6,0,5,0
material-service,com.ecotrack.material.service.impl,EcoPointsServiceImpl,225,0,4,0,43,0,10,0,8,0
material-service,com.ecotrack.material.service.impl,RewardServiceImpl,674,0,56,0,142,0,48,0,20,0
material-service,com.ecotrack.material.mapper,MaterialMapper,175,0,2,0,62,0,8,0,7,0
material-service,com.ecotrack.material.util,NumberGenerator,26,0,0,0,5,0,4,0,4,0
material-service,com.ecotrack.material.security,JwtAuthenticationFilter,164,0,22,0,34,0,12,0,1,0
material-service,com.ecotrack.material.security,JwtUtil,31,0,0,0,11,0,3,0,3,0
material-service,com.ecotrack.material.security,AuthenticatedUser,12,0,0,0,5,0,1,0,1,0
material-service,com.ecotrack.material.dto.response,ApiResponse,18,0,0,0,2,0,2,0,2,0
material-service,com.ecotrack.material.consumer,PickupEventConsumer,43,0,4,0,9,0,4,0,2,0
material-service,com.ecotrack.material.controller,MaterialController,84,0,0,0,13,0,6,0,6,0
material-service,com.ecotrack.material.controller,EcoPointsController,27,0,0,0,4,0,2,0,2,0
material-service,com.ecotrack.material.controller,MaterialCategoryController,49,0,0,0,9,0,4,0,4,0
material-service,com.ecotrack.material.controller,EcoPointRuleController,61,0,0,0,11,0,5,0,5,0
material-service,com.ecotrack.material.controller,OrderController,196,0,14,0,28,0,17,0,10,0
material-service,com.ecotrack.material.controller,RewardController,146,0,0,0,24,0,11,0,11,0
material-service,com.ecotrack.material.config,RabbitMQConfig,36,0,0,0,10,0,6,0,6,0
material-service,com.ecotrack.material.config,SecurityConfig,117,0,0,0,25,0,7,0,7,0
material-service,com.ecotrack.material.config,RazorpayConfig,12,0,0,0,4,0,2,0,2,0
material-service,com.ecotrack.material.config,RewardSeeder,243,0,4,0,78,0,6,0,4,0
material-service,com.ecotrack.material.config,SwaggerConfig,42,0,0,0,14,0,2,0,2,0
material-service,com.ecotrack.material.config,MaterialCategorySeeder,96,0,2,0,16,0,3,0,2,0
