GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pickup-service,com.ecotrack.pickup.service.impl,PickupServiceImpl,598,0,50,0,127,0,42,0,17,0
pickup-service,com.ecotrack.pickup.service.impl,WasteCategoryServiceImpl,80,0,2,0,20,0,6,0,5,0
pickup-service,com.ecotrack.pickup.dto.response,ApiResponse,18,0,0,0,2,0,2,0,2,0
pickup-service,com.ecotrack.pickup.mapper,PickupMapper,124,0,0,0,41,0,6,0,6,0
pickup-service,com.ecotrack.pickup.producer,PickupEventProducer,82,0,2,0,21,0,6,0,5,0
pickup-service,com.ecotrack.pickup.enums,RoleType,44,0,0,0,5,0,1,0,1,0
pickup-service,com.ecotrack.pickup.enums,PickupStatus,74,0,0,0,8,0,1,0,1,0
pickup-service,com.ecotrack.pickup.exception,GlobalExceptionHandler,68,0,0,0,15,0,7,0,7,0
pickup-service,com.ecotrack.pickup.exception,BusinessException,10,0,0,0,4,0,2,0,2,0
pickup-service,com.ecotrack.pickup.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
pickup-service,com.ecotrack.pickup.util,PickupNumberGenerator,20,0,0,0,4,0,2,0,2,0
pickup-service,com.ecotrack.pickup.controller,WasteCategoryController,49,0,0,0,9,0,4,0,4,0
pickup-service,com.ecotrack.pickup.controller,PickupController,196,0,16,0,28,0,18,0,10,0
pickup-service,com.ecotrack.pickup.config,SwaggerConfig,42,0,0,0,14,0,2,0,2,0
pickup-service,com.ecotrack.pickup.config,WasteCategorySeeder,92,0,2,0,17,0,3,0,2,0
pickup-service,com.ecotrack.pickup.config,RabbitMQConfig,23,0,0,0,6,0,4,0,4,0
pickup-service,com.ecotrack.pickup.config,SecurityConfig,129,0,0,0,28,0,7,0,7,0
pickup-service,com.ecotrack.pickup.config,PickupSeeder,240,0,4,0,100,0,4,0,2,0
pickup-service,com.ecotrack.pickup.security,JwtUtil,31,0,0,0,11,0,3,0,3,0
pickup-service,com.ecotrack.pickup.security,AuthenticatedUser,12,0,0,0,5,0,1,0,1,0
pickup-service,com.ecotrack.pickup.security,JwtAuthenticationFilter,164,0,22,0,34,0,12,0,1,0
pickup-service,com.ecotrack.pickup,PickupServiceApplication,8,0,0,0,3,0,2,0,2,0
