GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-service,com.ecotrack.user.producer,ApplicationEventProducer,69,4,0,0,16,1,3,1,3,1
user-service,com.ecotrack.user.controller,IndustryApplicationController,57,0,4,0,11,0,5,0,3,0
user-service,com.ecotrack.user.controller,RecyclerApplicationController,57,0,4,0,11,0,5,0,3,0
user-service,com.ecotrack.user.controller,IndustryController,69,0,2,0,11,0,6,0,5,0
user-service,com.ecotrack.user.controller,RegionController,48,25,0,0,8,5,4,2,4,2
user-service,com.ecotrack.user.controller,LocationController,17,0,0,0,2,0,2,0,2,0
user-service,com.ecotrack.user.controller,CitizenController,67,0,0,0,11,0,5,0,5,0
user-service,com.ecotrack.user.controller,RecyclerController,69,0,2,0,11,0,6,0,5,0
user-service,com.ecotrack.user.dto.response,ApiResponse,9,9,0,0,1,1,1,1,1,1
user-service,com.ecotrack.user.security,JwtUtil,31,0,0,0,11,0,3,0,3,0
user-service,com.ecotrack.user.security,AuthenticatedUser,12,0,0,0,5,0,1,0,1,0
user-service,com.ecotrack.user.security,JwtAuthenticationFilter,164,0,22,0,34,0,12,0,1,0
user-service,com.ecotrack.user.mapper,UserMapper,168,48,0,0,60,17,4,1,4,1
user-service,com.ecotrack.user,UserServiceApplication,5,3,0,0,2,1,1,1,1,1
user-service,com.ecotrack.user.enums,RoleType,0,27,0,0,0,5,0,1,0,1
user-service,com.ecotrack.user.enums,ApprovalStatus,0,21,0,0,0,4,0,1,0,1
user-service,com.ecotrack.user.service.impl,IndustryServiceImpl,94,0,6,0,17,0,11,0,8,0
user-service,com.ecotrack.user.service.impl,CitizenServiceImpl,130,0,2,0,29,0,9,0,8,0
user-service,com.ecotrack.user.service.impl,RegionServiceImpl,195,115,19,5,33,29,18,6,7,5
user-service,com.ecotrack.user.service.impl,RecyclerApplicationServiceImpl,100,184,8,8,25,39,8,6,2,4
user-service,com.ecotrack.user.service.impl,IndustryApplicationServiceImpl,284,0,16,0,64,0,14,0,6,0
user-service,com.ecotrack.user.service.impl,RecyclerServiceImpl,115,0,6,0,29,0,11,0,8,0
user-service,com.ecotrack.user.service.impl,StateCityServiceImpl,6,253,8,10,3,33,8,8,0,7
user-service,com.ecotrack.user.exception,GlobalExceptionHandler,65,3,0,0,13,1,6,1,6,1
user-service,com.ecotrack.user.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
user-service,com.ecotrack.user.exception,BusinessException,3,7,0,0,1,3,1,1,1,1
user-service,com.ecotrack.user.config,DemoDataSeeder,217,0,10,0,70,0,10,0,5,0
user-service,com.ecotrack.user.config,SwaggerConfig,42,0,0,0,13,0,2,0,2,0
user-service,com.ecotrack.user.config,RabbitMQConfig,23,0,0,0,6,0,4,0,4,0
user-service,com.ecotrack.user.config,SecurityConfig,147,0,0,0,19,0,7,0,7,0
